,genename,bianyileixing,count,uuid
0,A2M,nonsynonymous SNV,3,db42a79c-78ff-42a3-b6ab-3dc33a30fad7
1,A2M,synonymous SNV,1,7e851976-95ea-4e9f-abca-90f6099d3104
2,A2ML1,frameshift insertion,1,1aa02b6f-9203-4bcd-9273-ebddbc1b53db
3,A2ML1,nonsynonymous SNV,7,d94e7f04-b623-4107-97e4-d48ef1a0393e
4,A2ML1,stopgain,3,5e75bfb7-b79c-40d7-b087-9d4b8a59d51b
5,A4GALT,frameshift deletion,5,7ec06d59-a8d0-41e3-80ca-31ef2947fff9
6,A4GALT,frameshift insertion,6,5f93ef84-f2d2-43d2-b4bb-ac751e157ca1
7,A4GALT,nonframeshift deletion,1,079465c4-ccac-441a-a8c1-cee3b15efd14
8,A4GALT,nonsynonymous SNV,11,2bcebc81-6cad-476c-a88d-a5d5db38fa57
9,A4GALT,stopgain,5,24b33934-2c25-4ba6-8008-adb6c025caf4
10,AAAS,frameshift deletion,17,a4987e2d-6d9f-486d-8806-ff3512d95246
11,AAAS,frameshift insertion,6,c1b7e09c-1829-4d52-8049-c09459464d42
12,AAAS,frameshift substitution,1,afb392fb-a5b6-48da-9a4b-cea2369e897e
13,AAAS,nonsynonymous SNV,22,dbd3971d-d894-45d4-88f2-c316a7c30c91
14,AAAS,stopgain,18,c7fbc834-52a8-4b98-9666-93a9d07794f4
15,AADAC,nonsynonymous SNV,1,47fffc06-8d1e-4e60-a073-698ea711dfc2
16,AADAC,stoploss,1,4cf8fd5d-882a-4302-a35c-8e91894e2bfe
17,AADACL2,nonsynonymous SNV,1,c9f0b534-9bd4-407d-b8ab-42f643a2c5c4
18,AAGAB,frameshift deletion,6,4149a9ef-84b5-42cc-8704-f115b18c85e9
19,AAGAB,frameshift insertion,3,79e2d3ed-d0d4-405f-97d9-b3e9c98bae02
20,AAGAB,frameshift substitution,1,1fe29478-fa8f-4cba-b426-39830f3b2276
21,AAGAB,nonsynonymous SNV,2,1037853a-0620-41f9-857f-3ca0fc1b9e37
22,AAGAB,stopgain,6,69d6d3c6-34b8-4eb1-95b5-d8c742d37e8c
23,AANAT,nonsynonymous SNV,3,d6d599b1-b675-4053-9153-da4ceabece59
24,AAR2,nonsynonymous SNV,1,a610da93-4811-4db0-974b-f3160ac5d77e
25,AARS,nonsynonymous SNV,14,dbc5cacc-cdc2-4d56-9b4a-82972457dcc9
26,AARS,synonymous SNV,1,e84372f1-da5a-4766-8600-091aa1f35cde
27,AARS2,frameshift deletion,1,b317d9a3-8388-44a9-8913-07d965282d62
28,AARS2,frameshift insertion,2,72599dfc-e0a8-48b6-a95c-98b44d9f3d38
29,AARS2,nonframeshift deletion,1,f441be47-0192-4993-9903-1ae05ac28f7c
30,AARS2,nonsynonymous SNV,9,b9e24874-d18a-4096-8465-4366507295a4
